Date,Home,Away,HG,AG,Res
27/8/2022,PEC Zwolle,PSV II,4,2,H
27/8/2022,TOP Oss,VVV,1,2,A
27/8/2022,De Graafschap,Dordrecht,1,1,D
27/8/2022,Eindhoven,AZ II,1,0,H
27/8/2022,Almere City,Den Bosch,2,0,H
16/8/2022,MVV,NAC Breda,3,1,H
16/8/2022,PSV II,Dordrecht,1,0,H
16/8/2022,Utrecht II,Heracles,0,3,A
14/8/2022,ADO Den Haag,Den Bosch,0,2,A
13/8/2022,Telstar,PEC Zwolle,0,5,A
13/8/2022,Roda JC,Ajax II,1,0,H
13/8/2022,Helmond Sport,AZ II,1,3,A
13/8/2022,Eindhoven,Willem II,2,1,H
13/8/2022,De Graafschap,VVV,1,2,A
13/8/2022,Almere City,TOP Oss,3,0,H
