Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HR,AR,B365H,B365D,B365A,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA,B365CH,B365CD,B365CA,B365C>2.5,B365C<2.5,AHCh,B365CAHH,B365CAHA
SC1,3/8/2019,Arbroath,Queen of Sth,0,0,D,0,0,D,6,12,4,8,4,8,0,0,2.25,3.5,3,2,1.8,-0.25,2.02,1.83,2.3,3.4,2.9,2,1.8,-0.25,2.05,1.8
SC1,3/8/2019,Ayr,Morton,4,2,H,1,0,H,18,9,10,4,10,7,0,0,1.95,3.6,3.6,2.2,1.65,-0.5,2.02,1.83,2,3.6,3.5,2.1,1.7,-0.5,2.1,1.77
SC1,3/8/2019,Dundee United,Inverness C,4,1,H,2,1,H,10,5,5,2,6,6,0,0,1.9,3.4,4,2.15,1.66,-0.5,1.9,1.95,1.85,3.5,4.2,2.05,1.75,-0.5,1.88,1.98
SC2,3/8/2019,Airdrie Utd,Forfar,0,2,A,0,0,D,8,10,2,6,8,10,0,0,2.3,3.4,3,2,1.8,-0.25,2.05,1.8,2.62,3.4,2.5,1.72,2.07,0,1.87,1.92
SC2,3/8/2019,Clyde,East Fife,1,1,D,1,0,H,9,7,2,3,5,4,0,0,2.25,3.5,3,1.85,1.95,-0.25,2,1.85,2.25,3.5,3,1.85,1.95,-0.25,2,1.85
SC2,3/8/2019,Dumbarton,Raith Rvs,0,1,A,0,0,D,8,9,4,4,5,5,0,0,3.25,3.6,2.1,1.7,2.1,0.25,1.98,1.88,3.4,3.6,2,1.7,2.1,0.25,2.05,1.8
SC2,3/8/2019,Peterhead,Falkirk,0,0,D,0,0,D,4,8,2,3,5,4,0,0,3.3,3.5,2.1,1.9,1.9,0.5,1.77,2.1,3.4,3.5,2.05,1.9,1.9,0.25,2.07,1.72
SC2,3/8/2019,Stranraer,Montrose,2,2,D,1,0,H,8,6,4,3,6,5,0,0,2.37,3.4,2.87,1.85,1.95,-0.25,2.05,1.8,2.62,3.3,2.62,1.8,2,0,1.98,1.88
SC3,3/8/2019,Brechin,Annan Athletic,0,1,A,0,0,D,7,10,3,4,5,5,0,0,2.4,3.5,2.75,1.72,2.07,0,1.75,2.05,3.2,3.4,2.2,1.8,2,0.25,1.82,1.97
SC3,3/8/2019,Cove Rangers,Edinburgh City,5,0,H,3,0,H,24,3,11,1,11,2,0,2,2.15,3.5,3.2,1.85,1.95,-0.25,1.88,1.98,2,3.5,3.6,2.05,1.75,-0.25,1.88,1.98
SC3,3/8/2019,Elgin,Cowdenbeath,3,0,H,1,0,H,10,5,5,0,7,5,0,1,2,3.6,3.5,1.7,2.1,-0.5,2,1.8,1.9,3.6,3.75,1.75,2.05,-0.5,1.95,1.9
SC3,3/8/2019,Stenhousemuir,Albion Rvs,2,3,A,0,1,A,15,10,6,5,4,1,0,0,1.7,3.6,5,1.7,2.1,-0.75,1.95,1.9,1.7,3.6,5,1.7,2.1,-0.75,1.93,1.93
SC3,3/8/2019,Stirling,Queens Park,0,1,A,0,0,D,3,10,1,3,3,4,1,0,2.15,3.5,3.2,2,1.8,-0.25,1.85,1.95,2.9,3.3,2.4,2,1.8,0,2.02,1.77
D2,3/8/2019,Karlsruhe,Dresden,4,2,H,1,1,D,15,15,6,5,4,6,0,0,2.1,3.5,3.3,1.85,1.95,-0.25,1.83,2.02,2,3.5,3.5,1.85,1.95,-0.25,1.7,2.1
D2,3/8/2019,Hannover,Regensburg,1,1,D,0,0,D,21,9,6,7,8,1,0,0,1.95,3.6,3.6,1.66,2.15,-0.5,1.98,1.88,2.3,3.5,2.9,1.65,2.2,-0.25,1.98,1.88
F2,3/8/2019,Lens,Guingamp,2,0,H,0,0,D,14,12,6,2,2,8,0,0,2.15,3,3.8,2.4,1.53,-0.25,1.88,1.98,2.25,3,3.5,2.5,1.5,-0.25,1.95,1.9
B1,3/8/2019,Standard,Waregem,4,0,H,2,0,H,16,3,7,1,4,2,0,1,1.53,4.33,5.5,1.53,2.4,-1,1.9,1.95,1.33,5.25,8,1.36,3.1,-1.5,1.95,1.9
B1,3/8/2019,Kortrijk,Charleroi,1,1,D,0,1,A,7,11,4,6,10,3,0,0,2.3,3.4,3,1.8,2,-0.25,2.02,1.83,2.3,3.4,3,2,1.8,-0.25,2.02,1.83
B1,3/8/2019,Oostende,Cercle Brugge,3,1,H,2,1,H,11,9,7,4,3,2,0,1,2.15,3.5,3.2,1.7,2.1,-0.25,1.95,1.9,2.15,3.5,3.2,1.65,2.2,-0.25,1.95,1.9
B1,3/8/2019,Mechelen,Genk,3,1,H,1,1,D,11,9,5,5,5,4,0,0,4.33,3.4,1.85,1.75,2.05,0.5,2,1.85,4.2,3.4,1.9,1.72,2.07,0.5,1.9,1.95
N1,3/8/2019,FC Emmen,Groningen,0,1,A,0,0,D,7,10,2,4,6,7,0,0,3.1,3.4,2.25,1.7,2.1,0.25,1.88,2.02,2.6,3.3,2.62,2,1.8,0,1.92,1.98
N1,3/8/2019,Vitesse,Ajax,2,2,D,1,1,D,13,26,3,9,0,9,1,0,6.5,4.5,1.44,1.44,2.7,1.25,1.8,2,6.5,4.33,1.5,1.4,2.87,1,2.02,1.77
N1,3/8/2019,Twente,PSV Eindhoven,1,1,D,1,0,H,3,16,2,5,0,7,0,0,10,4.33,1.36,1.44,2.7,1.25,2.02,1.88,6.5,4.33,1.45,1.57,2.35,1,2.09,1.81
N1,3/8/2019,VVV Venlo,Waalwijk,3,1,H,0,1,A,11,15,6,3,2,3,0,0,1.85,3.8,3.8,1.66,2.15,-0.75,2.07,1.72,1.8,4,4,1.61,2.25,-0.75,2.05,1.75
E1,4/8/2019,Bristol City,Leeds,1,3,A,0,1,A,13,18,3,4,4,6,0,0,3.1,3.5,2.37,1.9,1.9,0.25,1.85,2.05,3.6,3.4,2.2,1.8,2,0.25,2.05,1.85
SC0,4/8/2019,Kilmarnock,Rangers,1,2,A,0,1,A,5,14,3,10,2,7,0,0,4.75,4,1.66,2,1.8,0.75,1.93,1.93,6.5,4,1.5,2.1,1.72,1,1.93,1.93
SC0,4/8/2019,Aberdeen,Hearts,3,2,H,1,0,H,10,7,5,3,4,4,0,1,1.9,3.25,4.2,2.2,1.66,-0.5,1.9,1.95,1.9,3.4,4,2.2,1.66,-0.5,2,1.85
D2,4/8/2019,Heidenheim,Stuttgart,2,2,D,0,0,D,15,23,5,10,3,10,0,0,3.5,3.6,2,1.66,2.15,0.25,2.05,1.8,2.8,3.5,2.4,1.61,2.25,0,1.98,1.88
D2,4/8/2019,Darmstadt,Holstein Kiel,2,0,H,1,0,H,12,22,5,2,4,15,0,0,2.5,3.4,2.7,1.61,2.25,0,1.85,2,3,3.4,2.3,1.53,2.4,0.25,1.85,2
