Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Mexico,Liga MX,2021/2022,2/10/2021,1:00,Puebla,Pachuca,1,2,A,3.15,3.29,2.46,3.28,3.29,2.52,3.03,3.13,2.39
Mexico,Liga MX,2021/2022,2/10/2021,3:00,Juarez,Monterrey,3,1,H,4.54,3.28,1.98,4.58,3.42,2.01,4.19,3.21,1.93
Mexico,Liga MX,2021/2022,2/10/2021,23:00,Club Leon,Atl. San Luis,0,0,D,1.68,3.94,5.44,1.7,3.96,5.5,1.66,3.76,5.02
Mexico,Liga MX,2021/2022,3/10/2021,1:06,Santos Laguna,Mazatlan FC,1,0,H,1.44,4.83,7.69,1.53,4.83,7.69,1.45,4.36,6.81
Mexico,Liga MX,2021/2022,3/10/2021,3:00,Guadalajara Chivas,Atlas,0,1,A,3.01,2.87,2.88,3.08,2.99,2.91,2.9,2.8,2.74
Mexico,Liga MX,2021/2022,3/10/2021,18:00,Toluca,Queretaro,1,1,D,1.79,3.77,4.82,1.81,3.8,5,1.76,3.61,4.52
Mexico,Liga MX,2021/2022,3/10/2021,23:00,Club America,U.N.A.M.- Pumas,2,0,H,1.59,3.8,7.17,1.61,3.95,7.18,1.57,3.69,6.38
Mexico,Liga MX,2021/2022,4/10/2021,1:00,U.A.N.L.- Tigres,Necaxa,0,0,D,1.93,3.35,4.68,1.99,3.4,4.68,1.9,3.27,4.23
Mexico,Liga MX,2021/2022,4/10/2021,3:06,Club Tijuana,Cruz Azul,0,1,A,2.95,3.13,2.71,2.97,3.22,2.71,2.8,3.05,2.61
Mexico,Liga MX,2021/2022,9/10/2021,1:00,Juarez,Queretaro,0,0,D,2.23,3.01,4.04,2.25,3.16,4.11,2.18,2.96,3.7
Mexico,Liga MX,2021/2022,15/10/2021,2:00,Queretaro,Club Tijuana,1,1,D,2.4,3.26,3.28,2.42,3.32,3.28,2.34,3.12,3.13
Mexico,Liga MX,2021/2022,16/10/2021,1:00,Necaxa,Puebla,0,1,A,2.09,3.29,4.04,2.15,3.45,4.07,2.04,3.23,3.73
Mexico,Liga MX,2021/2022,16/10/2021,3:00,Mazatlan FC,Atlas,1,0,H,4.3,3.1,2.11,4.3,3.25,2.17,3.85,3.03,2.08
Mexico,Liga MX,2021/2022,16/10/2021,23:00,Monterrey,Club Leon,0,1,A,1.9,3.78,4.18,1.97,3.78,4.26,1.89,3.52,3.87
Mexico,Liga MX,2021/2022,17/10/2021,1:00,Atl. San Luis,Club America,0,1,A,3.24,3.14,2.5,3.3,3.29,2.5,3.1,3.09,2.36
Mexico,Liga MX,2021/2022,17/10/2021,1:05,Pachuca,Santos Laguna,1,1,D,1.99,3.42,4.25,2.05,3.58,4.35,1.96,3.3,3.9
Mexico,Liga MX,2021/2022,17/10/2021,3:00,Cruz Azul,U.A.N.L.- Tigres,1,1,D,1.97,3.37,4.47,2,3.4,4.47,1.94,3.23,4.1
Mexico,Liga MX,2021/2022,17/10/2021,18:00,U.N.A.M.- Pumas,Juarez,1,0,H,2.12,3.31,3.93,2.17,3.32,3.98,2.08,3.15,3.68
Mexico,Liga MX,2021/2022,17/10/2021,23:00,Guadalajara Chivas,Toluca,2,0,H,2.18,3.44,3.59,2.22,3.5,3.61,2.14,3.26,3.4
Mexico,Liga MX,2021/2022,19/10/2021,23:00,Queretaro,Monterrey,1,0,H,4.42,3.39,1.97,4.43,3.53,2.01,4.02,3.28,1.94
Mexico,Liga MX,2021/2022,20/10/2021,1:00,Puebla,Mazatlan FC,2,0,H,1.56,4.15,6.78,1.63,4.15,6.88,1.56,3.8,6.08
Mexico,Liga MX,2021/2022,20/10/2021,1:05,Club America,Santos Laguna,2,1,H,1.75,3.73,5.29,1.76,3.75,5.29,1.71,3.56,4.91
Mexico,Liga MX,2021/2022,20/10/2021,3:05,Atlas,Cruz Azul,0,0,D,2.83,2.95,2.98,2.86,3.09,3,2.69,2.88,2.86
Mexico,Liga MX,2021/2022,21/10/2021,1:00,Club Leon,U.N.A.M.- Pumas,1,2,A,1.61,3.93,6.45,1.64,4.1,6.45,1.58,3.84,5.71
Mexico,Liga MX,2021/2022,21/10/2021,1:00,Toluca,Necaxa,1,1,D,2.12,3.64,3.54,2.13,3.68,3.6,2.02,3.52,3.45
Mexico,Liga MX,2021/2022,21/10/2021,3:00,U.A.N.L.- Tigres,Pachuca,3,0,H,1.73,3.83,5.23,1.79,3.85,5.24,1.73,3.61,4.73
Mexico,Liga MX,2021/2022,21/10/2021,3:06,Club Tijuana,Guadalajara Chivas,0,0,D,2.48,3.08,3.34,2.53,3.22,3.34,2.44,3.02,3.06
Mexico,Liga MX,2021/2022,23/10/2021,3:00,Mazatlan FC,Queretaro,2,1,H,2.75,2.94,3.1,2.75,3.1,3.16,2.61,2.84,3
Mexico,Liga MX,2021/2022,23/10/2021,23:00,Puebla,Club Leon,0,1,A,3,3.43,2.48,3.07,3.43,2.5,2.91,3.21,2.41
Mexico,Liga MX,2021/2022,23/10/2021,23:06,Monterrey,Necaxa,0,1,A,1.68,3.94,5.49,1.76,3.95,5.5,1.68,3.69,4.99
Mexico,Liga MX,2021/2022,24/10/2021,1:00,Club America,U.A.N.L.- Tigres,1,0,H,2.17,3.18,3.97,2.19,3.33,4,2.08,3.12,3.73
