Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Liga Profesional,2023,3/4/2023,1:30,Banfield,Platense,0,2,A,1.96,3.31,4.49,2.01,3.4,4.86,1.94,3.18,4.24
Argentina,Liga Profesional,2023,4/4/2023,0:00,Belgrano,Sarmiento Junin,0,0,D,2.13,3.07,4.19,2.17,3.18,4.33,2.1,3,3.94
Argentina,Liga Profesional,2023,4/4/2023,1:30,Central Cordoba,Arsenal Sarandi,1,0,H,2.01,3.28,4.3,2.2,3.3,4.3,2.03,3.18,3.91
Argentina,Liga Profesional,2023,7/4/2023,23:00,Lanus,Arsenal Sarandi,3,0,H,1.55,3.83,7.51,1.61,3.92,7.51,1.55,3.72,6.55
Argentina,Liga Profesional,2023,7/4/2023,23:00,Platense,Instituto,1,0,H,2.78,2.88,3.07,2.79,3.1,3.13,2.66,2.89,2.92
Argentina,Liga Profesional,2023,8/4/2023,1:30,Talleres Cordoba,Barracas Central,3,0,H,1.35,5.1,9.81,1.38,5.25,10,1.34,4.87,9.14
Argentina,Liga Profesional,2023,8/4/2023,1:30,Velez Sarsfield,Banfield,3,3,D,2.14,2.99,4.28,2.18,3.1,4.33,2.1,2.91,4.09
Argentina,Liga Profesional,2023,8/4/2023,19:30,Sarmiento Junin,Argentinos Jrs,2,0,H,3.83,3.08,2.23,4.16,3.2,2.24,3.8,3.02,2.13
Argentina,Liga Profesional,2023,8/4/2023,22:00,Gimnasia L.P.,Racing Club,3,1,H,3.76,3.28,2.16,3.76,3.33,2.25,3.48,3.18,2.16
Argentina,Liga Profesional,2023,8/4/2023,22:00,Union de Santa Fe,Belgrano,0,3,A,2.36,3,3.62,2.36,3.2,3.77,2.26,2.97,3.49
Argentina,Liga Profesional,2023,9/4/2023,0:30,Atl. Tucuman,San Lorenzo,1,3,A,2.54,2.83,3.49,2.64,2.98,4.2,2.44,2.82,3.34
Argentina,Liga Profesional,2023,9/4/2023,0:30,Defensa y Justicia,Central Cordoba,1,2,A,2.02,3.33,4.19,2.13,3.42,4.35,2.05,3.24,3.75
Argentina,Liga Profesional,2023,9/4/2023,18:00,Godoy Cruz,Tigre,1,1,D,2.47,3.28,3.08,2.53,3.34,3.23,2.42,3.2,2.95
Argentina,Liga Profesional,2023,9/4/2023,18:00,Independiente,Estudiantes L.P.,1,2,A,3.7,3.02,2.31,3.75,3.07,2.63,3.33,2.93,2.36
Argentina,Liga Profesional,2023,9/4/2023,20:30,Newells Old Boys,Rosario Central,0,0,D,2.1,3.07,4.32,2.14,3.2,4.32,2.06,3.03,4
Argentina,Liga Profesional,2023,9/4/2023,23:00,Huracan,River Plate,0,3,A,4.48,3.35,1.95,4.78,3.45,1.98,4.24,3.29,1.91
Argentina,Liga Profesional,2023,10/4/2023,1:30,Boca Juniors,Colon Santa Fe,1,2,A,1.74,3.63,5.42,1.75,3.75,6.08,1.7,3.58,5.13
