Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,win%,AHCh_win
I2,3/10/2021,Pordenone,Vicenza,2,4,Vicenza,Vicenza,1,2.75,2.1,2.9,3.75,-0.25,Vicenza,0.8799999999999999,1.98,1.88,0.4250085356695359,0.25
I2,3/10/2021,Benevento,Perugia,0,0,Draw,Perugia,0,-1,2.0,3.2,3.6,-0.5,Perugia,0.8,2.05,1.8,0.34766092746909855,0.5
F1,3/10/2021,Rennes,Paris SG,2,0,Rennes,Paris SG,0,-1,5.5,4.5,1.55,1.25,Rennes,-1,1.97,1.96,0.6439069399101397,-1.25
F1,3/10/2021,Angers,Metz,3,2,Angers,Angers,1,0.95,1.95,3.3,4.2,-0.5,Angers,0.96,1.96,1.97,0.5550461998173467,-0.5
F1,3/10/2021,Lorient,Clermont,1,1,Draw,Lorient,0,-1,2.4,3.5,2.8,0.0,Draw,0,1.83,2.1,0.6429964485327522,0.0
F1,3/10/2021,Monaco,Bordeaux,3,0,Monaco,Monaco,1,0.3600000000000001,1.36,5.0,8.0,-1.5,Monaco,1.0899999999999999,2.09,1.84,0.4684995894322612,-1.5
F1,3/10/2021,Nantes,Troyes,2,0,Nantes,Nantes,1,0.75,1.75,3.5,5.0,-0.75,Nantes,1.0899999999999999,2.09,1.84,0.40795481792024835,-0.75
F1,3/10/2021,Lille,Marseille,2,0,Lille,Marseille,0,-1,2.45,3.3,3.0,-0.25,Lille,-1,1.93,2.0,0.48352709482069944,0.25
F1,3/10/2021,St Etienne,Lyon,1,1,Draw,Lyon,0,-1,4.33,4.0,1.75,0.75,St Etienne,-0.5,1.96,1.97,0.7691935519478551,-0.75
B1,3/10/2021,Anderlecht,Club Brugge,1,1,Draw,Club Brugge,0,-1,2.87,3.6,2.37,-0.25,Club Brugge,0.375,2.05,1.75,0.4336280004283037,0.25
B1,3/10/2021,Seraing,Waregem,5,1,Seraing,Waregem,0,-1,2.0,4.0,3.3,-0.5,Seraing,-1,1.93,1.93,0.5543144418291552,0.5
B1,3/10/2021,Antwerp,Gent,1,0,Antwerp,Antwerp,1,1.75,2.75,3.75,2.4,0.25,Antwerp,0.8300000000000001,1.83,2.02,0.49764612932775065,0.25
