Date,Home,Away,HG,AG,Res,prediction,Hit?,odds,AvgH,AvgD,AvgA,Better,Asian_res,Asian_hit
8/7/2020,Spartak Moscow,Lokomotiv Moscow,1,1,Draw,Lokomotiv Moscow,0,-1,2.65,3.18,2.68,Spartak Moscow,Spartak Moscow,0
9/7/2020,Ural,Dynamo Moscow,2,1,Ural,Dynamo Moscow,0,-1,3.28,3.09,2.28,Dynamo Moscow,Draw,0
9/7/2020,Rubin Kazan,Krasnodar,1,0,Rubin Kazan,Krasnodar,0,-1,3.32,3.26,2.18,Krasnodar,Draw,0
11/7/2020,Arsenal Tula,Tambov,2,1,Arsenal Tula,Tambov,0,-1,2.32,3.14,3.12,Arsenal Tula,Arsenal Tula,0
11/7/2020,Akhmat Grozny,Zenit,1,1,Draw,Zenit,0,-1,2.95,3.38,2.3,Zenit,Zenit,1
11/7/2020,Sochi,Spartak Moscow,1,0,Sochi,Sochi,1,1.8599999999999999,2.86,3.3,2.41,Spartak Moscow,Draw,0
12/7/2020,Lokomotiv Moscow,Ufa,1,1,Draw,Draw,1,2.6,1.55,3.6,6.98,Lokomotiv Moscow,Lokomotiv Moscow,-1
12/7/2020,CSKA Moscow,Rubin Kazan,1,1,Draw,CSKA Moscow,0,-1,1.35,4.6,9.32,CSKA Moscow,CSKA Moscow,1
12/7/2020,Dynamo Moscow,Krylya Sovetov,2,0,Dynamo Moscow,Krylya Sovetov,0,-1,2.11,3.08,3.71,Dynamo Moscow,Dynamo Moscow,0
12/7/2020,Orenburg,FK Rostov,0,0,Draw,FK Rostov,0,-1,3.91,3.71,1.85,FK Rostov,FK Rostov,1
12/7/2020,Krasnodar,Ural,3,0,Krasnodar,Krasnodar,1,0.3700000000000001,1.37,4.8,7.79,Krasnodar,Krasnodar,1
15/7/2020,Ural,Arsenal Tula,1,3,Arsenal Tula,Arsenal Tula,1,2.23,2.26,3.2,3.23,Ural,Arsenal Tula,1
15/7/2020,Krylya Sovetov,Krasnodar,0,0,Draw,Krasnodar,0,-1,4.72,3.79,1.7,Krasnodar,Krasnodar,1
15/7/2020,Spartak Moscow,Akhmat Grozny,3,0,Spartak Moscow,Akhmat Grozny,0,-1,2.1,3.3,3.49,Spartak Moscow,Spartak Moscow,0
15/7/2020,Zenit,Orenburg,4,1,Zenit,Zenit,1,0.24,1.24,6.16,10.27,Zenit,Zenit,1
16/7/2020,Rubin Kazan,FK Rostov,0,0,Draw,Rubin Kazan,0,-1,2.79,2.99,2.68,FK Rostov,FK Rostov,0
16/7/2020,Ufa,Dynamo Moscow,0,1,Dynamo Moscow,Draw,0,-1,4.07,3.0,2.06,Dynamo Moscow,Dynamo Moscow,-1
16/7/2020,Lokomotiv Moscow,CSKA Moscow,2,1,Lokomotiv Moscow,CSKA Moscow,0,-1,2.98,3.16,2.42,CSKA Moscow,Draw,0
16/7/2020,Tambov,Sochi,3,0,Tambov,Sochi,0,-1,2.44,3.32,2.82,Tambov,Tambov,0
19/7/2020,Krasnodar,Dynamo Moscow,0,2,Dynamo Moscow,Draw,0,-1,1.58,3.84,5.75,Krasnodar,Dynamo Moscow,-1
22/7/2020,CSKA Moscow,Tambov,2,0,CSKA Moscow,CSKA Moscow,1,0.29000000000000004,1.29,5.56,9.35,CSKA Moscow,CSKA Moscow,1
22/7/2020,Dynamo Moscow,Orenburg,0,1,Orenburg,Dynamo Moscow,0,-1,1.61,3.78,5.57,Dynamo Moscow,Draw,0
22/7/2020,FK Rostov,Zenit,1,2,Zenit,Zenit,1,2.19,2.11,3.59,3.19,FK Rostov,Draw,0
22/7/2020,Krasnodar,Akhmat Grozny,4,0,Krasnodar,Krasnodar,1,0.3600000000000001,1.36,4.97,7.82,Krasnodar,Krasnodar,1
22/7/2020,Rubin Kazan,Spartak Moscow,1,2,Spartak Moscow,Draw,0,-1,3.12,3.2,2.3,Spartak Moscow,Spartak Moscow,-1
22/7/2020,Ufa,Arsenal Tula,0,0,Draw,Draw,1,1.8900000000000001,2.64,2.89,2.92,Ufa,Ufa,-1
22/7/2020,Ural,Lokomotiv Moscow,0,1,Lokomotiv Moscow,Lokomotiv Moscow,1,1.2000000000000002,3.04,3.52,2.2,Lokomotiv Moscow,Lokomotiv Moscow,1
