Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,PredictH,PredictD,PredictA
E3,28/9/2019,Crawley Town,Walsall,2,3,Walsall,Crawley Town,0,-1,2.4,3.5,3.1,-0.25,Walsall,-1,2.1,1.77,0.450711311,0.335556529,0.213732159
E3,28/9/2019,Exeter,Grimsby,1,3,Grimsby,Exeter,0,-1,1.85,3.75,4.5,-0.75,Grimsby,-1,1.9,1.95,0.555377908,0.25251094,0.192111152
E3,28/9/2019,Leyton Orient,Port Vale,3,3,Draw,Port Vale,0,-1,2.8,3.5,2.62,0,Draw,0,1.95,1.9,0.31467679,0.249108092,0.436215118
E3,28/9/2019,Macclesfield,Colchester,1,1,Draw,Colchester,0,-1,3.25,3.5,2.3,0.25,Macclesfield,0,1.85,2,0.152511433,0.320789807,0.52669876
E3,28/9/2019,Mansfield,Plymouth,0,1,Plymouth,Plymouth,1,2.2,2.3,3.6,3.2,-0.25,Plymouth,0.83,2.02,1.83,0.299312234,0.260393875,0.440293891
E3,28/9/2019,Morecambe,Northampton,2,2,Draw,Northampton,0,-1,3.4,3.6,2.2,0.25,Morecambe,0,2,1.85,0.090522169,0.179421473,0.730056358
E3,28/9/2019,Salford,Forest Green,0,4,Forest Green,Forest Green,1,2.4,2.2,3.6,3.4,-0.25,Forest Green,1,1.85,2,0.190426504,0.404181725,0.40539177
E3,28/9/2019,Scunthorpe,Bradford,1,1,Draw,Bradford,0,-1,2.75,3.4,2.7,0,Draw,0,1.98,1.88,0.157915059,0.211876134,0.630208807
E3,28/9/2019,Stevenage,Cambridge,1,1,Draw,Cambridge,0,-1,2.6,3.5,2.8,-0.25,Cambridge,0,2.02,1.83,0.204598394,0.315109346,0.48029226
E3,28/9/2019,Swindon,Newport County,0,2,Newport County,Swindon,0,-1,1.9,3.75,4.33,-0.5,Newport County,-1,1.9,1.95,0.366420083,0.326900858,0.306679058
